asset_class,source_provider,symbol_or_query,headline,snippet,article_url,timestamp_utc,sentiment,theme_bucket,query,raw
gdelt_news,gdelt_doc,SPY," „ Предатор  во Македонија во заборав , во Грција 126 години затвор",20260301T064500Z,https://time.mk/c/5f79c30e4a/predator-vo-makedonija-vo-zaborav-vo-grcija-126-godini-zatvor.html,2026-03-01 06:45:00+00:00,,macro,SPY,"{'url': 'https://time.mk/c/5f79c30e4a/predator-vo-makedonija-vo-zaborav-vo-grcija-126-godini-zatvor.html', 'url_mobile': '', 'title': ' „ Предатор  во Македонија во заборав , во Грција 126 години затвор', 'seendate': '20260301T064500Z', 'socialimage': 'https://racin.mk/wp-content/uploads/2026/02/predator-software-848x480.jpg', 'domain': 'time.mk', 'language': 'Macedonian', 'sourcecountry': 'Macedonia'}"
gdelt_news,gdelt_doc,SPY,Juliano Floss aconselha Samira a conversar com Ana Paula :  Vocês estavam estressadas  ,20260301T101500Z,https://gshow.globo.com/realities/bbb/bbb-26/dentro-da-casa/noticia/juliano-floss-aconselha-samira-a-conversar-com-ana-paula-voces-estavam-estressadas.ghtml,2026-03-01 10:15:00+00:00,,macro,SPY,"{'url': 'https://gshow.globo.com/realities/bbb/bbb-26/dentro-da-casa/noticia/juliano-floss-aconselha-samira-a-conversar-com-ana-paula-voces-estavam-estressadas.ghtml', 'url_mobile': 'https://gshow.globo.com/google/amp/realities/bbb/bbb-26/dentro-da-casa/noticia/juliano-floss-aconselha-samira-a-conversar-com-ana-paula-voces-estavam-estressadas.ghtml', 'title': 'Juliano Floss aconselha Samira a conversar com Ana Paula :  Vocês estavam estressadas  ', 'seendate': '20260301T101500Z', 'socialimage': 'https://s2-gshow.glbimg.com/dOocegZILSSeMYPQmH8ibSjJjh4=/1280x0/filters:format(jpeg)/https://thumbor.globoi.com/unsafe/fit-in/1280x720/s03.video.glbimg.com/deo/vi/78/02/14390278', 'domain': 'gshow.globo.com', 'language': 'Portuguese', 'sourcecountry': 'Brazil'}"
gdelt_news,gdelt_doc,SPY,"Bütün saldırılardan sağ çıktı , İran  ı satan adam olduğu söyleniyor ! İsmail Kaani casus mu ? ",20260302T100000Z,https://www.internethaber.com/butun-saldirilardan-sag-cikti-irani-satan-adam-oldugu-soyleniyor-ismail-kaani-casus-mu-foto-galerisi-2433398.htm,2026-03-02 10:00:00+00:00,,macro,SPY,"{'url': 'https://www.internethaber.com/butun-saldirilardan-sag-cikti-irani-satan-adam-oldugu-soyleniyor-ismail-kaani-casus-mu-foto-galerisi-2433398.htm', 'url_mobile': '', 'title': 'Bütün saldırılardan sağ çıktı , İran  ı satan adam olduğu söyleniyor ! İsmail Kaani casus mu ? ', 'seendate': '20260302T100000Z', 'socialimage': 'https://img.internethaber.com/rcman/Cw1280h720q95gc/storage/files/images/2026/03/02/butun-saldirilardan-sag-cikti-ulom_cover.jpg', 'domain': 'internethaber.com', 'language': 'Turkish', 'sourcecountry': 'Turkey'}"
gdelt_news,gdelt_doc,SPY,Spy X Vodka highlights spelt - led distillation - The Spirits Business,20260302T120000Z,https://www.thespiritsbusiness.com/2026/03/spy-x-vodka-highlights-spelt-led-distillation/,2026-03-02 12:00:00+00:00,,macro,SPY,"{'url': 'https://www.thespiritsbusiness.com/2026/03/spy-x-vodka-highlights-spelt-led-distillation/', 'url_mobile': '', 'title': 'Spy X Vodka highlights spelt - led distillation - The Spirits Business', 'seendate': '20260302T120000Z', 'socialimage': 'https://www.thespiritsbusiness.com/content/uploads/2026/03/Spy-X-Vodka.jpg', 'domain': 'thespiritsbusiness.com', 'language': 'English', 'sourcecountry': 'United Kingdom'}"
gdelt_news,gdelt_doc,SPY,Is IWM or SPY the Better ETF for Investors ? Here What the Data Says,20260303T030000Z,https://www.fool.com/coverage/etfs/2026/03/02/is-iwm-or-spy-the-better-etf-for-investors-here-s-what-the-data-says/?source=iedfolrf0000001,2026-03-03 03:00:00+00:00,,macro,SPY,"{'url': 'https://www.fool.com/coverage/etfs/2026/03/02/is-iwm-or-spy-the-better-etf-for-investors-here-s-what-the-data-says/?source=iedfolrf0000001', 'url_mobile': '', 'title': 'Is IWM or SPY the Better ETF for Investors ? Here What the Data Says', 'seendate': '20260303T030000Z', 'socialimage': 'https://cdn.content.foolcdn.com/images/1umn9qeh/production/f2894ef3e59a57033e3d12497757ed4ec0c197b2-1401x1251.png?rect=76,0,1251,1251&q=75&fit=crop&auto=format', 'domain': 'fool.com', 'language': 'English', 'sourcecountry': 'United States'}"
gdelt_news,gdelt_doc,SPY,以色列间谍花数月甚至数年潜伏伊朗 ！_ 军事频道 _ 中华网,20260303T050000Z,https://military.china.com/news/13004177/20260303/49287867.html,2026-03-03 05:00:00+00:00,,macro,SPY,"{'url': 'https://military.china.com/news/13004177/20260303/49287867.html', 'url_mobile': '', 'title': '以色列间谍花数月甚至数年潜伏伊朗 ！_ 军事频道 _ 中华网', 'seendate': '20260303T050000Z', 'socialimage': '', 'domain': 'military.china.com', 'language': 'Chinese', 'sourcecountry': 'China'}"
gdelt_news,gdelt_doc,SPY,"I Spy , You Spy",20260303T054500Z,https://www.tvguide.co.uk/schedule/86512ec7-0cea-57a4-b51e-6c9b0044fff4/i-spy-you-spy,2026-03-03 05:45:00+00:00,,macro,SPY,"{'url': 'https://www.tvguide.co.uk/schedule/86512ec7-0cea-57a4-b51e-6c9b0044fff4/i-spy-you-spy', 'url_mobile': '', 'title': 'I Spy , You Spy', 'seendate': '20260303T054500Z', 'socialimage': 'https://tv.assets.pressassociation.io/41505f26-3193-5420-a660-6ae3daa62916.jpg', 'domain': 'tvguide.co.uk', 'language': 'English', 'sourcecountry': 'United Kingdom'}"
gdelt_news,gdelt_doc,SPY,"I Spy , You Spy",20260303T054500Z,https://www.tvguide.co.uk/schedule/a1b71eb5-dbea-5358-9f22-53b5aec78a6f/i-spy-you-spy,2026-03-03 05:45:00+00:00,,macro,SPY,"{'url': 'https://www.tvguide.co.uk/schedule/a1b71eb5-dbea-5358-9f22-53b5aec78a6f/i-spy-you-spy', 'url_mobile': '', 'title': 'I Spy , You Spy', 'seendate': '20260303T054500Z', 'socialimage': 'https://tv.assets.pressassociation.io/41505f26-3193-5420-a660-6ae3daa62916.jpg', 'domain': 'tvguide.co.uk', 'language': 'English', 'sourcecountry': 'United Kingdom'}"
gdelt_news,gdelt_doc,SPY,Letà delloro e lombra lunga del capo,20260303T071500Z,https://www.ilfoglio.it/il-foglio-ai/2026/03/03/news/l-eta-dell-oro-e-l-ombra-lunga-del-capo-8731503/,2026-03-03 07:15:00+00:00,,macro,SPY,"{'url': 'https://www.ilfoglio.it/il-foglio-ai/2026/03/03/news/l-eta-dell-oro-e-l-ombra-lunga-del-capo-8731503/', 'url_mobile': 'https://www.ilfoglio.it/il-foglio-ai/2026/03/03/news/l-eta-dell-oro-e-l-ombra-lunga-del-capo-8731503/amp/', 'title': 'Letà delloro e lombra lunga del capo', 'seendate': '20260303T071500Z', 'socialimage': 'https://img-prod.ilfoglio.it/2026/03/02/153808118-3410af3b-070e-415c-b5be-d807ed740334.jpg', 'domain': 'ilfoglio.it', 'language': 'Italian', 'sourcecountry': 'Italy'}"
gdelt_news,gdelt_doc,SPY,无伪装实车 ！ 国产加长版来了 上汽奥迪A7L旅行版曝光 _ 新车上市 _ 汽车 _ 中金在线,20260303T071500Z,http://auto.cnfol.com/xincheshangshi/20260303/32040612.shtml,2026-03-03 07:15:00+00:00,,macro,SPY,"{'url': 'http://auto.cnfol.com/xincheshangshi/20260303/32040612.shtml', 'url_mobile': '', 'title': '无伪装实车 ！ 国产加长版来了 上汽奥迪A7L旅行版曝光 _ 新车上市 _ 汽车 _ 中金在线', 'seendate': '20260303T071500Z', 'socialimage': '', 'domain': 'auto.cnfol.com', 'language': 'Chinese', 'sourcecountry': 'China'}"
